keyword,cpc,search_volume,competition,score,opp_score,intent
questions on email,0.0000,590,low,0.0000,0.7984,misc
email advertising,1.3100,590,low,0.3275,0.3603,generic
email questions,0.0000,590,low,0.0000,0.7984,misc
email marketing kya hai,0.2100,590,low,0.0525,0.6397,generic
what is email marketing in digital marketing,0.3700,590,low,0.0925,0.6079,informational
questions about email,0.0000,590,low,0.0000,0.7984,misc
email campaign software,3.2900,480,low,0.8225,0.1429,transactional
strategy for email marketing,0.6000,480,low,0.1500,0.5143,informational
strategies for email marketing,0.6000,480,low,0.1500,0.5143,generic
mailing marketing strategies,0.6000,480,low,0.1500,0.5143,generic
email marketing approach,0.6000,480,low,0.1500,0.5143,generic
email blast strategy,0.6000,480,low,0.1500,0.5143,informational
email blast marketing strategies,0.6000,480,low,0.1500,0.5143,generic
email marketing strategy,0.6000,480,low,0.1500,0.5143,informational
questions for email,0.0000,480,low,0.0000,0.7714,misc
free email templates,0.9400,480,low,0.2350,0.4730,transactional
e-mail marketing strategies,0.6000,480,low,0.1500,0.5143,generic
email campaign tools,3.4700,390,low,0.8675,0.1000,transactional
email campaign tool,3.4700,390,low,0.8675,0.1000,transactional
emailing software,3.0000,390,low,0.7500,0.1286,transactional
interview questions for email marketing,0.0400,390,low,0.0100,0.6619,misc
email marketing questions interview,0.0400,390,low,0.0100,0.6619,misc
email marketing interview questions,0.0400,390,low,0.0100,0.6619,misc
email marketing in hindi,0.0000,320,low,0.0000,0.7238,generic
email campaign templates,1.3400,320,low,0.3350,0.2794,transactional
e mail marketing in hindi,0.0000,320,low,0.0000,0.7238,generic
free email marketing courses,0.2100,320,low,0.0525,0.5651,informational
email marketing free course,0.2100,320,low,0.0525,0.5651,informational
email tools,2.2800,320,low,0.5700,0.1778,transactional
free email marketing,1.5600,320,low,0.3900,0.2413,transactional
email marketing courses free,0.5800,260,low,0.1450,0.4778,informational
email marketing course free,0.5800,260,low,0.1450,0.4778,informational
ईमेल मार्केटिंग क्या है,0.4300,260,low,0.1075,0.5032,generic
free email marketing template,1.6400,260,low,0.4100,0.2079,transactional
best email marketing software,3.1100,260,low,0.7775,0.0778,transactional
email marketing jobs work from home,0.0000,260,low,0.0000,0.7000,career
work home jobs email marketing,0.0000,260,low,0.0000,0.7000,career
free email marketing course,0.5800,260,low,0.1450,0.4778,informational
email marketing software free,1.3800,210,low,0.3450,0.2190,transactional
what is email campaign,0.0000,210,low,0.0000,0.6730,informational
free email marketing software,1.3800,210,low,0.3450,0.2190,transactional
email campaign meaning,12.5100,210,medium,3.1275,0.0000,informational
what is an email campaign,0.0000,210,low,0.0000,0.6730,informational
best email examples,2.5700,210,low,0.6425,0.1016,informational
email campaign examples,1.1800,210,low,0.2950,0.2794,informational
email campaigns examples,1.1800,210,low,0.2950,0.2794,informational
campaign email examples,1.1800,210,low,0.2950,0.2794,informational
email questions and answers,0.0000,170,low,0.0000,0.6571,misc
email process interview questions,0.0000,140,low,0.0000,0.6540,misc
