campaign_id,product_id,budget,clicks,conversions,revenue_generated,roi,customer_id,subscription_tier,subscription_length,flash_sale_id,discount_level,units_sold,bundle_id,bundle_price,customer_satisfaction_post_refund,common_keywords,traffic_type
CMP_J3P16J,PROD_Y9Q4TT,27815.5000,2547,441,11138.3000,3.1500,CUST_75UNOZ,Basic,33,FLASH_WYC527,33,124,BNDL_28SVFL,51.0900,2,Affordable,Organic
CMP_73ZEYI,PROD_N6TJ3L,26529.0200,1081,839,49134.7000,3.1700,CUST_OP1NV7,Standard,2,FLASH_G7L5WT,47,113,BNDL_O4ACGO,347.8000,2,Affordable,Organic
CMP_6LIAXU,PROD_FMQVT0,12292.1500,1362,327,22019.9200,0.8800,CUST_V2EZ3I,Basic,23,FLASH_P58NTF,45,49,BNDL_YWCKWK,401.3100,2,Durable,Referral
CMP_I7T3C0,PROD_9O79YH,30877.0200,1077,310,24046.8100,4.9300,CUST_3FS404,Basic,8,FLASH_IPTB5R,69,18,BNDL_AMA3F9,248.1300,1,Innovative,Organic
CMP_PQE4BR,PROD_PAL55D,34299.5700,3940,951,23264.8100,2.1800,CUST_WWPLKL,Premium,2,FLASH_G2S4KF,38,102,BNDL_Z12655,452.8100,2,Innovative,Organic
CMP_76CVFB,PROD_XX48PJ,11504.5300,3042,229,67001.3500,3.7700,CUST_DK9G8T,Standard,30,FLASH_KOVJ0A,67,144,BNDL_KXMAPU,149.3600,2,Innovative,Referral
CMP_DBZKAJ,PROD_ERZP34,8640.5300,4972,138,58350.6100,4.4600,CUST_FYB8SB,Standard,33,FLASH_06F2QB,21,26,BNDL_WGGDV0,498.3700,4,Innovative,Organic
CMP_0JPJSU,PROD_RFVQ9K,42067.1600,3485,305,79350.8600,0.6200,CUST_GAVKMF,Basic,25,FLASH_1NZJOX,28,35,BNDL_HK93UM,143.1500,1,Affordable,Social
CMP_R15N65,PROD_123WFY,17588.7100,509,574,69641.8400,0.7200,CUST_LKUU0U,Standard,33,FLASH_G2WE45,67,147,BNDL_0YGXFY,327.1100,3,Innovative,Organic
CMP_92XH6T,PROD_F36U1N,29985.1100,1630,645,88889.7300,1.5400,CUST_L7KZLJ,Premium,12,FLASH_CWZJ3Z,57,150,BNDL_0WEFGK,472.3900,2,Innovative,Referral
CMP_A9A3FP,PROD_6AISV3,16440.0800,4263,47,26375.4700,3.6800,CUST_XXDBDT,Basic,13,FLASH_MZXOE6,17,158,BNDL_HW30DT,270.9300,2,Durable,Organic
CMP_X1OPBR,PROD_77USNO,42205.1400,409,315,8688.2800,4.2300,CUST_MZ3LMG,Standard,15,FLASH_8ZNL0L,51,31,BNDL_DN70PS,261.8900,1,Stylish,Referral
CMP_TZFZJ1,PROD_4BIK1E,16819.6200,1838,222,72477.2500,4.6500,CUST_CK9J9U,Basic,35,FLASH_K77ATM,15,21,BNDL_HZ4GMV,439.9300,2,Stylish,Referral
CMP_0RQFJN,PROD_7WU07C,9759.9800,4385,782,66455.8000,4.5800,CUST_8HMLXX,Premium,1,FLASH_9RHURB,44,86,BNDL_G58APA,441.0200,1,Innovative,Organic
CMP_BIEYIV,PROD_V8E70B,47316.0500,4457,596,92430.7200,0.6500,CUST_1NE3DE,Basic,9,FLASH_N5FNP8,29,126,BNDL_84TUQJ,401.4900,2,Durable,Social
CMP_9JZ43H,PROD_YA9GLK,48434.3500,2835,362,84952.1200,2.6500,CUST_DOUGF6,Premium,10,FLASH_TJQ556,45,184,BNDL_QFDH71,342.0500,3,Innovative,Direct
CMP_9AZ9KA,PROD_G317MR,25224.2700,534,982,27754.0100,3.0000,CUST_QAUXH1,Basic,27,FLASH_02MRX8,18,124,BNDL_WLPZKC,109.2400,2,Innovative,Social
CMP_VRGJWP,PROD_EN7BKR,39531.4800,4980,851,28155.0500,4.4400,CUST_DWNJKT,Basic,23,FLASH_EYZSAD,47,76,BNDL_Q68LYR,495.1400,4,Innovative,Social
CMP_J4WWNI,PROD_74WGXD,1191.5100,2103,815,14952.1600,1.2200,CUST_Y22YWI,Premium,21,FLASH_WHLRNL,51,121,BNDL_JL6I10,244.6700,2,Durable,Referral
CMP_ERHBWI,PROD_F9QC8H,47675.8900,773,545,88710.2200,2.5600,CUST_TV9ZQV,Premium,11,FLASH_OJX3XL,34,39,BNDL_VJ9Y89,138.1500,4,Stylish,Social
CMP_BXIM20,PROD_FACSLZ,18025.9400,3372,778,93803.9200,2.9500,CUST_PKN0G7,Standard,34,FLASH_GN9JV3,11,182,BNDL_8YS7EJ,379.7000,4,Innovative,Organic
CMP_O0HUM1,PROD_J6GFKJ,47520.1100,4909,13,9800.3800,4.2800,CUST_RPOI04,Basic,33,FLASH_EZ7X2V,64,80,BNDL_8AWIHF,179.2200,4,Durable,Organic
CMP_XFPT45,PROD_6UO8U4,5436.9100,2635,86,87725.6700,2.0200,CUST_Y5GO58,Premium,24,FLASH_26X2J4,68,111,BNDL_RNKYEF,242.4700,3,Affordable,Organic
CMP_VEZFH2,PROD_2QEXAO,11004.3400,1092,800,50999.4300,3.1600,CUST_ZUFG0Q,Basic,33,FLASH_JXOZ0R,47,199,BNDL_82J229,175.0700,4,Durable,Organic
CMP_33O4NF,PROD_R33XWF,15084.6200,3374,228,41807.5600,0.8300,CUST_8Y4NTV,Basic,34,FLASH_0VUJBH,56,34,BNDL_XKK1HU,404.3400,1,Stylish,Organic
CMP_7HMRQW,PROD_DX62IF,24173.0100,1270,649,25180.9500,0.8400,CUST_QTR48I,Standard,23,FLASH_UVEY3S,13,186,BNDL_9YQSGL,432.7000,1,Stylish,Organic
CMP_34HQ5U,PROD_6IFPHM,899.8500,4636,235,63876.3500,4.9800,CUST_2FF5PB,Premium,17,FLASH_BJTTUG,56,46,BNDL_WN28GT,306.3000,1,Stylish,Direct
CMP_K05ZGA,PROD_CKAV55,13560.2400,2662,659,7208.4700,0.8800,CUST_7TT8ST,Basic,26,FLASH_AX41S3,14,133,BNDL_9LF2RA,226.7300,1,Innovative,Organic
CMP_1SK145,PROD_ZUMB30,34502.6800,2734,78,16089.5300,2.6300,CUST_8BF8VZ,Standard,30,FLASH_ONTIED,39,75,BNDL_LX6BDW,172.9200,3,Stylish,Organic
CMP_UAICF2,PROD_VGJ9HY,39904.7000,3491,884,16433.1500,1.6700,CUST_IG0GPP,Basic,12,FLASH_PGWPKX,43,50,BNDL_3YPMZM,401.4800,4,Durable,Referral
CMP_VOKFBG,PROD_IO9U49,41432.1900,4557,557,64342.8100,2.0900,CUST_TAYZE3,Basic,3,FLASH_QOKUVX,11,81,BNDL_TJYXP4,164.7500,2,Innovative,Organic
CMP_DWZU4I,PROD_CJ1UCJ,3103.3800,4054,263,98709.9000,1.7200,CUST_U90BYZ,Premium,10,FLASH_L6AWFG,67,104,BNDL_9QBFI7,187.7100,3,Affordable,Direct
CMP_QH0SMN,PROD_EQN94W,25064.4400,4958,339,25221.1600,0.6300,CUST_N9O07R,Standard,20,FLASH_0DLK7E,20,89,BNDL_BMRPBW,357.6800,1,Innovative,Organic
CMP_HG0FWB,PROD_C89LN8,42025.3000,4936,615,37248.8900,4.1800,CUST_STII9E,Premium,29,FLASH_6NVH0L,41,150,BNDL_8YN0RO,330.4800,2,Durable,Social
CMP_XRCF12,PROD_IFT52G,33081.1300,2100,498,23273.8400,4.2800,CUST_JQE7HQ,Basic,10,FLASH_4YEOXB,23,31,BNDL_69HRLA,130.4500,4,Durable,Direct
CMP_V2AKAL,PROD_4B248I,4616.7300,943,918,78426.5200,0.8300,CUST_3A75QT,Basic,28,FLASH_LFBZLR,31,174,BNDL_O4QH20,498.8900,1,Affordable,Organic
CMP_8W7HAW,PROD_DOYJQE,47731.6300,4567,159,8505.2100,2.5000,CUST_YHYQAH,Standard,15,FLASH_61IBXI,16,152,BNDL_R5WAFX,345.3100,4,Durable,Organic
CMP_O00VBQ,PROD_ESTQDI,25644.9600,4106,141,91170.2200,4.7300,CUST_7ANL3M,Standard,24,FLASH_XSJCHQ,25,119,BNDL_1IBBH3,385.6000,1,Affordable,Direct
CMP_BSPEFE,PROD_8FI3UR,34512.3300,3615,115,10146.2200,2.5900,CUST_1Y2F2F,Premium,3,FLASH_VJECRZ,65,12,BNDL_9SZZKA,149.9200,2,Durable,Referral
CMP_Y8P901,PROD_18N765,26203.4600,180,117,15998.5400,4.9900,CUST_Z13GEI,Standard,29,FLASH_5IS8Z8,55,7,BNDL_TL33MY,491.8000,2,Stylish,Referral
CMP_XAH490,PROD_IVM6YZ,17450.3700,3129,292,88925.8200,3.1100,CUST_KM3REW,Premium,28,FLASH_Z3LUWF,29,112,BNDL_7JVK8R,307.5800,3,Stylish,Direct
CMP_77KVY3,PROD_33COF6,41719.7800,4003,261,35090.3400,1.3600,CUST_84MT33,Premium,33,FLASH_6ECQ4Z,13,145,BNDL_HMMI49,321.4500,3,Stylish,Organic
CMP_8BNPEG,PROD_DK5IYH,13125.6500,1633,14,84334.8500,3.7900,CUST_RS2N8C,Basic,13,FLASH_5X5X38,32,91,BNDL_GQT8XA,137.9300,4,Innovative,Organic
CMP_R907KH,PROD_W9I9LC,32654.3600,4911,250,90929.3700,2.2600,CUST_QJL4E0,Standard,13,FLASH_9EZADB,36,13,BNDL_JSM4JS,453.3800,2,Innovative,Organic
CMP_6ZOWIR,PROD_0HOG0C,33458.8000,1692,994,57680.3800,4.0900,CUST_K25TUU,Basic,7,FLASH_H604TM,20,144,BNDL_1D78G9,189.6600,1,Stylish,Direct
CMP_YIVJTM,PROD_N9M17F,14625.7800,668,862,29351.5300,1.1000,CUST_911TPP,Standard,22,FLASH_4W6JA3,11,59,BNDL_ABJQ39,251.8100,2,Innovative,Referral
CMP_D305W1,PROD_FPIRBG,14409.4100,2360,687,95547.2000,4.5300,CUST_OZINP5,Standard,27,FLASH_PMR31N,32,139,BNDL_OV6DY6,58.7300,4,Affordable,Organic
CMP_1FWRGB,PROD_3BJIOR,35040.1700,570,182,31151.6100,4.9300,CUST_2T8CEL,Standard,4,FLASH_RAWZHY,34,122,BNDL_7OUT8N,159.1200,4,Stylish,Organic
CMP_OP2MI7,PROD_MLDT6R,44031.4100,803,995,87098.8400,3.3400,CUST_1M4FZD,Basic,3,FLASH_H1LH2M,11,92,BNDL_JDJF8W,226.8000,3,Durable,Organic
CMP_0KPFQL,PROD_67AQDN,35825.1300,2907,858,51372.4900,3.6600,CUST_NJN6K7,Standard,28,FLASH_05VCYE,18,14,BNDL_708JQE,124.5800,3,Stylish,Organic
CMP_IWGZ64,PROD_TONOET,5743.6600,1245,375,60351.8800,3.8100,CUST_0Y86QF,Standard,29,FLASH_C0WGU1,10,61,BNDL_0LTQ5F,490.3500,2,Durable,Referral
CMP_DPSZGR,PROD_4SQGLM,36750.7600,4034,810,98711.2400,4.3400,CUST_SNS21E,Basic,14,FLASH_GDF2GO,46,57,BNDL_1WOAST,219.8300,2,Durable,Referral
CMP_WPM2RM,PROD_JVX5WH,47951.9900,833,159,5676.6200,3.9300,CUST_DU4GHT,Premium,11,FLASH_Y0MI9W,29,21,BNDL_KKO1AT,140.5100,1,Stylish,Social
CMP_NUGZ20,PROD_MNT2MC,19707.3300,3469,433,59347.5300,4.5300,CUST_F4ZGKA,Basic,22,FLASH_XIHPHM,49,48,BNDL_4E9JRG,294.0600,3,Innovative,Referral
CMP_VXPJ0B,PROD_S91NXA,24666.2600,4097,372,66489.5100,3.3700,CUST_79PW52,Basic,9,FLASH_TXLEXI,68,137,BNDL_P0AIPZ,215.3300,3,Innovative,Organic
CMP_80P7FB,PROD_L9KK0U,30766.7000,2449,228,95210.2100,0.6400,CUST_CQYPL9,Basic,3,FLASH_9KGS0M,45,112,BNDL_0HJFYJ,215.8500,1,Affordable,Referral
CMP_UG69JC,PROD_P8T58W,32103.4000,2952,195,5528.6300,4.3000,CUST_CRQPV3,Standard,30,FLASH_R0V3WO,40,158,BNDL_10G4O1,462.7200,3,Durable,Direct
CMP_6WE8W6,PROD_W55R88,44792.0500,683,26,83164.8800,0.5300,CUST_F46UCR,Premium,2,FLASH_KX9MY9,53,98,BNDL_ZZ3RQ2,387.5000,4,Innovative,Referral
CMP_52F4WR,PROD_JX5JG5,4073.6500,1671,628,88605.1100,2.7100,CUST_CSDSRO,Basic,5,FLASH_FNXAN6,49,126,BNDL_R1NDOI,254.9700,3,Affordable,Direct
CMP_HEZCE3,PROD_8QBU4Y,49366.9700,3051,738,95295.4000,3.1600,CUST_7A1M6N,Standard,26,FLASH_CBDLRC,51,121,BNDL_7A69IB,131.6000,4,Innovative,Referral
CMP_GNSET5,PROD_94ZRFO,45303.1700,2850,444,81839.4500,4.2600,CUST_64BC7S,Basic,14,FLASH_D1BTI1,24,46,BNDL_PC5B8A,378.2400,1,Innovative,Referral
CMP_RVXBXG,PROD_10OCFW,23795.3700,3838,654,60718.2400,2.7400,CUST_QPIS45,Premium,11,FLASH_U0E6XE,25,143,BNDL_CP6VAY,60.5900,3,Innovative,Organic
CMP_302P22,PROD_02K7IZ,12100.4900,2410,207,18666.1200,3.2400,CUST_8DHTAT,Premium,7,FLASH_UZAKC8,40,135,BNDL_GH2DH9,188.1200,4,Innovative,Organic
CMP_3LKTC1,PROD_XYX1BS,47560.4700,3165,472,18015.6200,3.9700,CUST_K328QX,Premium,12,FLASH_856Z9D,61,166,BNDL_DDXX9O,77.0800,4,Innovative,Organic
CMP_CFHTS6,PROD_4593T7,30242.9800,1891,4,60011.2800,3.2900,CUST_9XCD1E,Standard,35,FLASH_09MH82,47,79,BNDL_WGMS1M,93.6700,1,Innovative,Organic
CMP_YD6OWW,PROD_Y36YGI,30358.4600,3935,315,64180.8700,1.0500,CUST_226IMH,Basic,8,FLASH_50ZRC4,26,112,BNDL_0EZV38,211.7600,1,Stylish,Referral
CMP_IGB734,PROD_BJE5TZ,47677.7500,1817,87,90909.6900,0.5600,CUST_48IUJM,Basic,30,FLASH_7KF44K,38,177,BNDL_D5K9D6,443.9200,3,Stylish,Organic
CMP_6AZSVC,PROD_PINWNS,3485.8800,4523,828,74681.2900,3.3700,CUST_5YKT36,Standard,13,FLASH_7JW7FB,27,181,BNDL_ZRV4L6,125.9300,2,Innovative,Referral
CMP_6881CY,PROD_3GAWMO,5163.3900,1262,567,26537.6800,4.2500,CUST_1URQA0,Basic,19,FLASH_K2OFJO,61,99,BNDL_7VT3UY,161.4500,3,Innovative,Social
CMP_5G320B,PROD_FHP2HH,32952.4800,4380,442,64670.4300,0.6600,CUST_4RVYH2,Standard,14,FLASH_FKHHCB,24,131,BNDL_ZHFBHZ,188.4100,2,Durable,Organic
CMP_IHSBC8,PROD_7OL21M,13378.2100,3263,583,77000.3300,3.2800,CUST_JGHPQB,Standard,24,FLASH_AEHOXI,19,99,BNDL_QTXJZL,338.3000,4,Durable,Organic
CMP_UX56B1,PROD_Z57R6D,8170.3500,1590,625,11742.1700,2.4900,CUST_9LVGCU,Premium,19,FLASH_UO1AZG,34,84,BNDL_0MX9T7,437.6100,3,Affordable,Referral
CMP_IRGXX2,PROD_IE5GSJ,2198.3000,3128,54,12455.4400,1.4300,CUST_EIR77V,Basic,23,FLASH_0V5H37,15,74,BNDL_ZGQXDK,474.2300,4,Stylish,Organic
CMP_CRZ3YK,PROD_T2AERU,15942.4400,2249,828,95996.7400,4.0100,CUST_W88D4S,Premium,26,FLASH_O8CKWT,31,140,BNDL_K602JW,106.8000,4,Affordable,Organic
CMP_GV7QWS,PROD_MYRFYW,16582.3000,2725,182,14191.2900,4.4800,CUST_N3OGZV,Standard,24,FLASH_CAA7PU,46,55,BNDL_V4OUZL,99.2600,4,Durable,Organic
CMP_U914BV,PROD_AWFTJ4,32544.9700,332,309,6700.8700,4.7800,CUST_9H94H4,Standard,6,FLASH_TC1GI7,11,39,BNDL_SXMDH4,230.5100,1,Stylish,Organic
CMP_KNRVQ3,PROD_UUBB51,27502.6600,59,937,14250.9800,2.5000,CUST_B8QIAC,Premium,28,FLASH_K5I84M,22,199,BNDL_82FXNQ,79.2500,1,Affordable,Social
CMP_DSLVEF,PROD_7FOD0N,45484.9000,1407,355,9660.0900,4.9300,CUST_6F4PGO,Premium,26,FLASH_22YGAU,40,60,BNDL_WDZT2A,461.4600,2,Stylish,Direct
CMP_Y6NX3B,PROD_NCF3UZ,18705.1700,4763,845,79718.0200,2.9900,CUST_6UWBIN,Standard,30,FLASH_R6B0DB,45,52,BNDL_953INB,322.5300,1,Stylish,Referral
CMP_PWMFBR,PROD_16E56O,42309.1800,4834,479,69833.4600,2.2400,CUST_PGUZTP,Standard,16,FLASH_WPPB4F,56,157,BNDL_HJVJ2R,250.5500,3,Durable,Direct
CMP_VUDZXQ,PROD_08MSQA,7626.4400,2904,348,47479.3200,3.4300,CUST_H52SZF,Premium,7,FLASH_UJLHB0,41,15,BNDL_CRGLZD,273.7700,4,Affordable,Direct
CMP_N0MZ5R,PROD_7M76W5,21705.5600,1854,272,67620.6200,1.9800,CUST_75IJHK,Standard,8,FLASH_HXG40B,19,68,BNDL_RG9CSO,375.8200,3,Affordable,Organic
CMP_QKV36K,PROD_300TBQ,24013.7300,509,141,24573.1000,2.5800,CUST_RCK6I3,Premium,17,FLASH_Z6C7H9,18,24,BNDL_GCIZHS,463.8900,4,Innovative,Social
CMP_Y3CFO9,PROD_SVKVXA,35926.5900,2394,114,7451.9000,3.3300,CUST_AOFWWC,Basic,28,FLASH_JWNYVY,63,138,BNDL_NHV73X,126.4400,4,Durable,Referral
CMP_C0Q5L4,PROD_5OWKOF,34986.4500,25,528,98731.5100,2.2900,CUST_C3R82A,Standard,35,FLASH_23NCFJ,32,128,BNDL_JRBK9F,86.7400,1,Affordable,Direct
CMP_KV1RPH,PROD_XLWJIZ,26160.4800,4958,842,19764.4000,2.0000,CUST_TI5GXP,Basic,29,FLASH_2UFL6O,15,196,BNDL_69SI87,230.9700,2,Durable,Social
CMP_UJ9JL3,PROD_V2GNVN,48037.5400,3110,35,14176.9200,3.7600,CUST_LCIYZL,Basic,16,FLASH_4Z5YTQ,46,114,BNDL_OKLGJ7,95.6200,4,Durable,Organic
CMP_KLELGH,PROD_3LKY6J,5171.2900,3852,363,58656.5300,1.4700,CUST_VZGUZI,Premium,16,FLASH_48RQ35,24,163,BNDL_K8XLH2,387.5300,1,Stylish,Organic
CMP_LF0XJZ,PROD_UEAS8K,10624.8800,1633,835,48414.4500,2.3800,CUST_GS0K4Y,Premium,29,FLASH_2JAOGS,43,5,BNDL_TGQ4SJ,469.4300,2,Innovative,Organic
CMP_5FY2TU,PROD_TL95TZ,7928.7600,4364,440,99239.9800,4.6500,CUST_QJWX3E,Basic,10,FLASH_NGRFHW,58,112,BNDL_VGJ1T5,188.6500,4,Innovative,Organic
CMP_CC8ZK7,PROD_JDFYEH,12604.1100,4892,25,68403.5100,3.4600,CUST_DQ2DXR,Basic,26,FLASH_N8FEYG,35,182,BNDL_L2JO5S,323.8300,3,Affordable,Direct
CMP_N61R6X,PROD_R7FOZG,14218.4600,3891,678,75402.5600,3.0300,CUST_ZHLVR0,Standard,30,FLASH_SLJH96,43,33,BNDL_HP4GK5,273.5400,1,Durable,Direct
CMP_TBB3YA,PROD_MDKL13,44595.4600,4195,457,92494.3300,2.1600,CUST_3OARTY,Basic,3,FLASH_N7RNNQ,66,149,BNDL_YWTQRI,336.3200,4,Affordable,Organic
CMP_EH378A,PROD_MAQCBF,39923.5000,164,451,17929.1600,4.7800,CUST_T2L5K6,Basic,33,FLASH_7HY3EB,23,168,BNDL_W9G1GP,207.5400,2,Innovative,Referral
CMP_ZGOZYG,PROD_YMGLC7,15308.7500,1734,846,75254.6700,2.1000,CUST_5DT8ZD,Basic,21,FLASH_IPPFLP,11,7,BNDL_KPZXR7,397.9800,1,Stylish,Organic
CMP_233MHS,PROD_M874GG,1163.9700,2117,820,73153.8600,0.6200,CUST_CF16FO,Premium,35,FLASH_R5FGGE,19,158,BNDL_N3V281,96.7900,1,Affordable,Organic
CMP_3NG6GP,PROD_NPM80K,24222.9200,1188,867,98204.5600,0.5600,CUST_M67GX2,Basic,8,FLASH_C3XIUW,44,194,BNDL_KGG1XE,119.2500,3,Stylish,Organic
