keyword,cpc,search_volume,competition,score,opp_score,intent
email marketing in digital marketing,1.0,1000,low,0.25,0.5650793650793651,generic
email marketing course,1.25,1000,low,0.3125,0.4539682539682539,informational
free tools for email marketing,2.76,1000,low,0.69,0.2698412698412698,transactional
best email marketing tools,3.32,1000,low,0.83,0.23809523809523808,transactional
email marketing strategies,1.41,880,low,0.3525,0.38571428571428573,generic
marketing email strategy,1.41,880,low,0.3525,0.38571428571428573,informational
how to do email marketing,0.92,720,low,0.23,0.5365079365079365,informational
email marketing pics,0.0,720,low,0.0,0.8285714285714285,misc
email marketing images,0.0,720,low,0.0,0.8285714285714285,misc
email marketing pictures,0.0,720,low,0.0,0.8285714285714285,misc
email campaign marketing,3.51,720,low,0.8775,0.16825396825396827,transactional
marketing email campaign,3.51,720,low,0.8775,0.16825396825396827,transactional
images of email marketing,0.0,720,low,0.0,0.8285714285714285,misc
email marketing campaign,2.03,720,low,0.5075,0.2888888888888889,transactional
email marketing picture,0.0,720,low,0.0,0.8285714285714285,misc
images for email marketing,0.0,720,low,0.0,0.8285714285714285,misc
email marketing pic,0.0,720,low,0.0,0.8285714285714285,misc
email marketing campaigns,3.51,720,low,0.8775,0.16825396825396827,transactional
images in email marketing,0.0,720,low,0.0,0.8285714285714285,misc
questions on email,0.0,590,low,0.0,0.7984126984126984,misc
email advertising,1.31,590,low,0.3275,0.36031746031746037,generic
email questions,0.0,590,low,0.0,0.7984126984126984,misc
email marketing kya hai,0.21,590,low,0.0525,0.6396825396825396,generic
what is email marketing in digital marketing,0.37,590,low,0.0925,0.6079365079365079,informational
questions about email,0.0,590,low,0.0,0.7984126984126984,misc
email campaign software,3.29,480,low,0.8225,0.1428571428571428,transactional
strategy for email marketing,0.6,480,low,0.15,0.5142857142857142,informational
strategies for email marketing,0.6,480,low,0.15,0.5142857142857142,generic
mailing marketing strategies,0.6,480,low,0.15,0.5142857142857142,generic
email marketing approach,0.6,480,low,0.15,0.5142857142857142,generic
email blast strategy,0.6,480,low,0.15,0.5142857142857142,informational
email blast marketing strategies,0.6,480,low,0.15,0.5142857142857142,generic
email marketing strategy,0.6,480,low,0.15,0.5142857142857142,informational
questions for email,0.0,480,low,0.0,0.7714285714285715,misc
free email templates,0.94,480,low,0.235,0.473015873015873,transactional
e-mail marketing strategies,0.6,480,low,0.15,0.5142857142857142,generic
email campaign tools,3.47,390,low,0.8675,0.10000000000000005,transactional
email campaign tool,3.47,390,low,0.8675,0.10000000000000005,transactional
emailing software,3.0,390,low,0.75,0.12857142857142861,transactional
interview questions for email marketing,0.04,390,low,0.01,0.6619047619047619,misc
email marketing questions interview,0.04,390,low,0.01,0.6619047619047619,misc
email marketing interview questions,0.04,390,low,0.01,0.6619047619047619,misc
email marketing in hindi,0.0,320,low,0.0,0.7238095238095238,generic
email campaign templates,1.34,320,low,0.335,0.2793650793650794,transactional
e mail marketing in hindi,0.0,320,low,0.0,0.7238095238095238,generic
free email marketing courses,0.21,320,low,0.0525,0.5650793650793651,informational
email marketing free course,0.21,320,low,0.0525,0.5650793650793651,informational
email tools,2.28,320,low,0.57,0.17777777777777778,transactional
free email marketing,1.56,320,low,0.39,0.24126984126984125,transactional
email marketing courses free,0.58,260,low,0.145,0.47777777777777775,informational
email marketing course free,0.58,260,low,0.145,0.47777777777777775,informational
ईमेल मार्केटिंग क्या है,0.43,260,low,0.1075,0.5031746031746032,generic
free email marketing template,1.64,260,low,0.41,0.20793650793650792,transactional
best email marketing software,3.11,260,low,0.7775,0.0777777777777778,transactional
email marketing jobs work from home,0.0,260,low,0.0,0.7,career
work home jobs email marketing,0.0,260,low,0.0,0.7,career
free email marketing course,0.58,260,low,0.145,0.47777777777777775,informational
email marketing software free,1.38,210,low,0.345,0.2190476190476191,transactional
what is email campaign,0.0,210,low,0.0,0.673015873015873,informational
free email marketing software,1.38,210,low,0.345,0.2190476190476191,transactional
email campaign meaning,12.51,210,medium,3.1275,0.0,informational
what is an email campaign,0.0,210,low,0.0,0.673015873015873,informational
best email examples,2.57,210,low,0.6425,0.10158730158730163,informational
email campaign examples,1.18,210,low,0.295,0.2793650793650794,informational
email campaigns examples,1.18,210,low,0.295,0.2793650793650794,informational
campaign email examples,1.18,210,low,0.295,0.2793650793650794,informational
email questions and answers,0.0,170,low,0.0,0.6571428571428571,misc
email process interview questions,0.0,140,low,0.0,0.653968253968254,misc
