date,user_id,session_duration,page_views,source,medium,campaign,device_category,country,new_user,conversions,revenue,conversion_rate,arpu,revenue_per_session,engagement_rate,sessions
2023-06-14,63,530,9,Social,Direct,,Desktop,Germany,0,0,0,0.0,0.0,0.0,0.016981132075471698,1
2023-06-27,64,134,1,Organic,Direct,Summer Sale,Mobile,France,1,1,115,1.0,115.0,115.0,0.007462686567164179,1
2023-06-28,65,108,2,Social,Referral,,Tablet,Australia,1,2,240,1.0,240.0,240.0,0.018518518518518517,1
2023-06-26,66,137,4,Direct,Social Media,Winter Campaign,Desktop,UK,1,0,0,0.0,0.0,0.0,0.029197080291970802,1
2023-06-15,67,501,7,Organic,Referral,Winter Campaign,Mobile,Germany,1,3,417,0.42857142857142855,417.0,417.0,0.013972055888223553,1
2023-06-22,68,416,5,Referral,Social Media,Spring Promo,Mobile,UK,0,3,366,0.6,366.0,366.0,0.01201923076923077,1
2023-06-25,69,395,10,Social,Direct,Winter Campaign,Desktop,France,0,3,354,0.3,354.0,354.0,0.02531645569620253,1
2023-06-09,70,588,6,Social,Referral,Spring Promo,Tablet,India,0,3,204,0.5,204.0,204.0,0.01020408163265306,1
2023-06-29,71,457,9,Direct,Social Media,Spring Promo,Desktop,UK,0,3,213,0.3333333333333333,213.0,213.0,0.019693654266958426,1
2023-06-27,72,583,4,Organic,Social Media,Spring Promo,Desktop,Germany,0,0,0,0.0,0.0,0.0,0.00686106346483705,1
2023-06-14,73,288,8,Social,Social Media,Spring Promo,Mobile,Germany,1,0,0,0.0,0.0,0.0,0.027777777777777776,1
2023-06-01,74,546,6,Social,Referral,Winter Campaign,Mobile,France,0,3,411,0.5,411.0,411.0,0.01098901098901099,1
2023-06-30,75,535,9,Referral,Direct,Winter Campaign,Mobile,India,0,2,170,0.2222222222222222,170.0,170.0,0.016822429906542057,1
2023-06-30,76,77,10,Referral,Referral,Winter Campaign,Mobile,Australia,0,3,396,0.3,396.0,396.0,0.12987012987012986,1
2023-06-03,77,209,9,Social,Referral,Summer Sale,Mobile,France,1,2,212,0.2222222222222222,212.0,212.0,0.0430622009569378,1
2023-06-07,78,177,7,Direct,Direct,Winter Campaign,Desktop,UK,0,3,438,0.42857142857142855,438.0,438.0,0.03954802259887006,1
2023-06-20,79,257,3,Direct,Organic Search,Winter Campaign,Desktop,Australia,0,3,270,1.0,270.0,270.0,0.011673151750972763,1
2023-06-01,80,179,6,Direct,Social Media,Winter Campaign,Tablet,Germany,1,2,152,0.3333333333333333,152.0,152.0,0.0335195530726257,1
2023-06-28,81,334,3,Referral,Direct,,Mobile,Germany,1,2,160,0.6666666666666666,160.0,160.0,0.008982035928143712,1
2023-06-07,82,503,5,Organic,Social Media,Winter Campaign,Mobile,USA,1,2,276,0.4,276.0,276.0,0.009940357852882704,1
2023-06-24,83,388,1,Organic,Referral,Summer Sale,Mobile,USA,1,2,154,2.0,154.0,154.0,0.002577319587628866,1
2023-06-09,84,517,6,Referral,Social Media,,Mobile,Australia,0,0,0,0.0,0.0,0.0,0.01160541586073501,1
2023-06-17,85,389,10,Direct,Direct,Summer Sale,Mobile,France,1,0,0,0.0,0.0,0.0,0.02570694087403599,1
2023-06-25,86,296,8,Organic,Referral,Winter Campaign,Desktop,UK,0,1,87,0.125,87.0,87.0,0.02702702702702703,1
2023-06-27,87,435,7,Referral,Social Media,,Desktop,UK,1,3,393,0.42857142857142855,393.0,393.0,0.016091954022988506,1
2023-06-11,88,152,7,Social,Social Media,,Desktop,USA,1,1,85,0.14285714285714285,85.0,85.0,0.046052631578947366,1
2023-06-08,89,144,4,Referral,Organic Search,Summer Sale,Mobile,Australia,0,0,0,0.0,0.0,0.0,0.027777777777777776,1
2023-06-06,90,252,5,Referral,Direct,Summer Sale,Tablet,Australia,1,1,82,0.2,82.0,82.0,0.01984126984126984,1
2023-06-16,91,554,8,Social,Direct,Summer Sale,Desktop,France,0,0,0,0.0,0.0,0.0,0.01444043321299639,1
2023-06-29,92,516,7,Organic,Social Media,,Desktop,Germany,1,2,188,0.2857142857142857,188.0,188.0,0.013565891472868217,1
2023-06-04,93,600,7,Organic,Direct,Spring Promo,Mobile,Australia,0,0,0,0.0,0.0,0.0,0.011666666666666667,1
2023-06-20,94,356,6,Direct,Organic Search,Summer Sale,Desktop,Germany,1,3,441,0.5,441.0,441.0,0.016853932584269662,1
2023-06-07,95,494,6,Organic,Organic Search,Winter Campaign,Desktop,Germany,1,3,186,0.5,186.0,186.0,0.012145748987854251,1
2023-06-04,96,430,7,Referral,Organic Search,Winter Campaign,Desktop,Germany,1,1,133,0.14285714285714285,133.0,133.0,0.01627906976744186,1
2023-06-14,97,317,7,Organic,Referral,Summer Sale,Tablet,USA,1,0,0,0.0,0.0,0.0,0.022082018927444796,1
2023-06-29,98,370,7,Direct,Direct,,Mobile,UK,1,1,96,0.14285714285714285,96.0,96.0,0.01891891891891892,1
2023-06-11,99,330,6,Social,Direct,Winter Campaign,Desktop,UK,1,1,115,0.16666666666666666,115.0,115.0,0.01818181818181818,1
2023-06-16,100,79,5,Organic,Organic Search,,Mobile,Canada,1,0,0,0.0,0.0,0.0,0.06329113924050633,1
2023-06-08,101,93,4,Organic,Organic Search,Spring Promo,Mobile,UK,0,2,252,0.5,252.0,252.0,0.043010752688172046,1
2023-06-14,102,454,8,Organic,Referral,Winter Campaign,Desktop,UK,0,0,0,0.0,0.0,0.0,0.01762114537444934,1
2023-06-17,103,404,5,Organic,Organic Search,,Tablet,India,1,2,272,0.4,272.0,272.0,0.012376237623762377,1
2023-06-17,104,188,6,Direct,Organic Search,Winter Campaign,Tablet,USA,1,0,0,0.0,0.0,0.0,0.031914893617021274,1
2023-06-22,105,271,6,Direct,Referral,Summer Sale,Tablet,USA,0,2,174,0.3333333333333333,174.0,174.0,0.02214022140221402,1
2023-06-09,106,169,2,Referral,Direct,Winter Campaign,Mobile,France,0,2,202,1.0,202.0,202.0,0.011834319526627219,1
2023-06-29,107,300,7,Organic,Direct,,Tablet,UK,0,0,0,0.0,0.0,0.0,0.023333333333333334,1
2023-06-02,108,428,6,Referral,Social Media,,Tablet,Germany,0,0,0,0.0,0.0,0.0,0.014018691588785047,1
2023-06-07,109,237,4,Social,Referral,Spring Promo,Mobile,UK,1,0,0,0.0,0.0,0.0,0.016877637130801686,1
2023-06-23,110,488,8,Organic,Organic Search,Winter Campaign,Mobile,India,0,2,252,0.25,252.0,252.0,0.01639344262295082,1
2023-06-24,111,212,9,Referral,Organic Search,Spring Promo,Desktop,USA,1,0,0,0.0,0.0,0.0,0.04245283018867924,1
2023-06-24,112,343,3,Direct,Direct,Spring Promo,Tablet,Germany,0,0,0,0.0,0.0,0.0,0.008746355685131196,1
2023-06-25,113,264,2,Referral,Direct,Winter Campaign,Tablet,USA,0,1,85,0.5,85.0,85.0,0.007575757575757576,1
2023-06-12,114,497,3,Organic,Organic Search,Summer Sale,Desktop,India,1,1,85,0.3333333333333333,85.0,85.0,0.006036217303822937,1
2023-06-23,115,505,2,Organic,Direct,Winter Campaign,Desktop,Australia,0,1,134,0.5,134.0,134.0,0.0039603960396039604,1
2023-06-22,116,81,10,Organic,Social Media,Spring Promo,Desktop,India,1,0,0,0.0,0.0,0.0,0.12345679012345678,1
2023-06-20,117,118,7,Social,Social Media,Winter Campaign,Tablet,India,1,0,0,0.0,0.0,0.0,0.059322033898305086,1
2023-06-14,118,323,1,Social,Organic Search,Summer Sale,Desktop,Australia,1,3,303,3.0,303.0,303.0,0.0030959752321981426,1
2023-06-18,119,570,2,Organic,Referral,Summer Sale,Desktop,Canada,0,2,296,1.0,296.0,296.0,0.0035087719298245615,1
2023-06-28,120,485,2,Direct,Referral,Winter Campaign,Mobile,India,0,3,255,1.5,255.0,255.0,0.004123711340206186,1
2023-06-29,121,561,4,Social,Direct,,Mobile,France,0,2,254,0.5,254.0,254.0,0.0071301247771836,1
2023-06-17,122,524,7,Organic,Direct,Summer Sale,Mobile,France,1,2,298,0.2857142857142857,298.0,298.0,0.013358778625954198,1
2023-06-17,123,221,1,Direct,Social Media,Winter Campaign,Mobile,Germany,1,2,240,2.0,240.0,240.0,0.004524886877828055,1
2023-06-16,124,274,2,Referral,Referral,,Tablet,USA,0,1,127,0.5,127.0,127.0,0.0072992700729927005,1
2023-06-27,125,287,2,Organic,Organic Search,,Desktop,USA,1,0,0,0.0,0.0,0.0,0.006968641114982578,1
2023-06-18,126,174,6,Referral,Referral,Summer Sale,Tablet,France,0,3,450,0.5,450.0,450.0,0.034482758620689655,1
2023-06-05,127,110,5,Direct,Referral,,Desktop,Canada,1,0,0,0.0,0.0,0.0,0.045454545454545456,1
2023-06-29,128,139,2,Direct,Organic Search,Winter Campaign,Desktop,Germany,1,3,192,1.5,192.0,192.0,0.014388489208633094,1
2023-06-16,129,465,1,Social,Organic Search,Spring Promo,Desktop,France,1,1,117,1.0,117.0,117.0,0.002150537634408602,1
2023-06-14,130,569,6,Direct,Referral,Spring Promo,Tablet,France,1,0,0,0.0,0.0,0.0,0.01054481546572935,1
2023-06-10,131,540,7,Referral,Organic Search,Winter Campaign,Mobile,Australia,1,1,109,0.14285714285714285,109.0,109.0,0.012962962962962963,1
2023-06-25,132,264,8,Referral,Referral,,Desktop,France,0,0,0,0.0,0.0,0.0,0.030303030303030304,1
2023-06-09,133,585,8,Direct,Social Media,Winter Campaign,Mobile,France,0,0,0,0.0,0.0,0.0,0.013675213675213675,1
2023-06-07,134,127,9,Organic,Organic Search,Summer Sale,Mobile,Canada,0,3,447,0.3333333333333333,447.0,447.0,0.07086614173228346,1
2023-06-12,135,276,4,Direct,Social Media,,Desktop,India,1,2,242,0.5,242.0,242.0,0.014492753623188406,1
2023-06-04,136,217,5,Direct,Social Media,Spring Promo,Mobile,Canada,1,0,0,0.0,0.0,0.0,0.02304147465437788,1
2023-06-07,137,284,2,Organic,Direct,Summer Sale,Mobile,Germany,0,0,0,0.0,0.0,0.0,0.007042253521126761,1
2023-06-13,138,519,6,Direct,Organic Search,Spring Promo,Tablet,UK,0,3,249,0.5,249.0,249.0,0.011560693641618497,1
2023-06-13,139,298,1,Social,Social Media,,Mobile,France,1,1,140,1.0,140.0,140.0,0.003355704697986577,1
2023-06-10,140,111,6,Direct,Direct,Winter Campaign,Tablet,India,1,0,0,0.0,0.0,0.0,0.05405405405405406,1
2023-06-05,141,235,10,Organic,Referral,,Desktop,Canada,0,0,0,0.0,0.0,0.0,0.0425531914893617,1
2023-06-29,142,335,7,Referral,Direct,,Desktop,France,0,3,282,0.42857142857142855,282.0,282.0,0.020895522388059702,1
2023-06-15,143,303,7,Social,Referral,Spring Promo,Desktop,Canada,1,2,212,0.2857142857142857,212.0,212.0,0.0231023102310231,1
2023-06-25,144,375,1,Organic,Social Media,,Tablet,Canada,0,0,0,0.0,0.0,0.0,0.0026666666666666666,1
2023-06-11,145,444,7,Organic,Social Media,Winter Campaign,Desktop,USA,0,0,0,0.0,0.0,0.0,0.015765765765765764,1
2023-06-28,146,554,4,Direct,Social Media,Summer Sale,Desktop,India,0,3,192,0.75,192.0,192.0,0.007220216606498195,1
2023-06-13,147,79,8,Direct,Social Media,Winter Campaign,Desktop,France,0,2,260,0.25,260.0,260.0,0.10126582278481013,1
2023-06-20,148,560,5,Direct,Organic Search,,Mobile,Australia,1,3,318,0.6,318.0,318.0,0.008928571428571428,1
2023-06-19,149,264,1,Social,Social Media,Summer Sale,Mobile,Canada,1,0,0,0.0,0.0,0.0,0.003787878787878788,1
2023-06-07,150,443,1,Social,Organic Search,Spring Promo,Desktop,UK,0,1,146,1.0,146.0,146.0,0.002257336343115124,1
2023-06-24,151,526,2,Direct,Social Media,Spring Promo,Mobile,France,0,2,170,1.0,170.0,170.0,0.0038022813688212928,1
2023-06-27,152,141,9,Organic,Referral,,Mobile,France,0,2,268,0.2222222222222222,268.0,268.0,0.06382978723404255,1
2023-06-06,153,290,3,Referral,Social Media,Summer Sale,Desktop,USA,1,2,170,0.6666666666666666,170.0,170.0,0.010344827586206896,1
2023-06-25,154,381,9,Referral,Direct,,Tablet,Australia,0,2,228,0.2222222222222222,228.0,228.0,0.023622047244094488,1
2023-06-08,155,169,7,Direct,Direct,Spring Promo,Tablet,Canada,1,0,0,0.0,0.0,0.0,0.04142011834319527,1
2023-06-13,156,214,8,Social,Organic Search,,Tablet,UK,0,1,145,0.125,145.0,145.0,0.037383177570093455,1
2023-06-19,157,143,3,Direct,Direct,Summer Sale,Tablet,France,1,1,142,0.3333333333333333,142.0,142.0,0.02097902097902098,1
2023-06-24,158,147,2,Organic,Organic Search,Summer Sale,Tablet,Australia,1,0,0,0.0,0.0,0.0,0.013605442176870748,1
2023-06-06,159,210,2,Direct,Social Media,Spring Promo,Tablet,France,0,2,190,1.0,190.0,190.0,0.009523809523809525,1
2023-06-20,160,353,7,Direct,Direct,Summer Sale,Mobile,India,0,0,0,0.0,0.0,0.0,0.019830028328611898,1
2023-06-13,161,238,2,Referral,Direct,Summer Sale,Desktop,Australia,0,0,0,0.0,0.0,0.0,0.008403361344537815,1
2023-06-10,162,247,10,Social,Referral,Summer Sale,Mobile,France,0,0,0,0.0,0.0,0.0,0.04048582995951417,1
2023-06-06,163,522,4,Referral,Organic Search,Summer Sale,Tablet,UK,0,0,0,0.0,0.0,0.0,0.007662835249042145,1
2023-06-26,164,541,4,Direct,Social Media,Spring Promo,Mobile,India,0,0,0,0.0,0.0,0.0,0.0073937153419593345,1
2023-06-03,165,374,1,Social,Referral,Winter Campaign,Desktop,Germany,0,0,0,0.0,0.0,0.0,0.00267379679144385,1
2023-06-01,166,334,5,Social,Direct,Summer Sale,Mobile,USA,0,2,174,0.4,174.0,174.0,0.014970059880239521,1
2023-06-26,167,560,6,Organic,Direct,Spring Promo,Tablet,USA,0,2,170,0.3333333333333333,170.0,170.0,0.010714285714285714,1
2023-06-03,168,249,7,Referral,Organic Search,Summer Sale,Desktop,France,0,2,112,0.2857142857142857,112.0,112.0,0.028112449799196786,1
2023-06-24,169,519,1,Referral,Direct,Winter Campaign,Mobile,USA,0,2,128,2.0,128.0,128.0,0.0019267822736030828,1
2023-06-26,170,140,2,Referral,Referral,Winter Campaign,Desktop,India,0,2,240,1.0,240.0,240.0,0.014285714285714285,1
2023-06-16,171,245,5,Social,Organic Search,Summer Sale,Desktop,India,0,0,0,0.0,0.0,0.0,0.02040816326530612,1
2023-06-05,172,139,2,Social,Social Media,,Tablet,Australia,0,3,270,1.5,270.0,270.0,0.014388489208633094,1
2023-06-26,173,149,7,Social,Organic Search,Summer Sale,Mobile,India,0,1,79,0.14285714285714285,79.0,79.0,0.04697986577181208,1
2023-06-04,174,236,3,Referral,Organic Search,Spring Promo,Tablet,UK,1,3,303,1.0,303.0,303.0,0.012711864406779662,1
2023-06-20,175,417,10,Social,Direct,Spring Promo,Desktop,USA,1,1,88,0.1,88.0,88.0,0.023980815347721823,1
2023-06-10,176,505,1,Organic,Referral,Summer Sale,Mobile,Canada,0,1,149,1.0,149.0,149.0,0.0019801980198019802,1
2023-06-24,177,498,1,Organic,Social Media,Spring Promo,Desktop,India,1,3,252,3.0,252.0,252.0,0.002008032128514056,1
2023-06-29,178,248,5,Direct,Referral,Spring Promo,Mobile,India,1,1,105,0.2,105.0,105.0,0.020161290322580645,1
2023-06-15,179,171,3,Social,Referral,Summer Sale,Mobile,India,0,0,0,0.0,0.0,0.0,0.017543859649122806,1
2023-06-08,180,473,3,Direct,Organic Search,Summer Sale,Mobile,India,1,3,333,1.0,333.0,333.0,0.006342494714587738,1
2023-06-23,181,371,8,Organic,Social Media,Winter Campaign,Mobile,Australia,1,0,0,0.0,0.0,0.0,0.0215633423180593,1
2023-06-12,182,360,4,Direct,Organic Search,Summer Sale,Tablet,France,0,1,119,0.25,119.0,119.0,0.011111111111111112,1
2023-06-02,183,128,6,Social,Direct,Spring Promo,Mobile,Germany,1,1,70,0.16666666666666666,70.0,70.0,0.046875,1
2023-06-13,184,100,8,Referral,Referral,Winter Campaign,Tablet,USA,0,0,0,0.0,0.0,0.0,0.08,1
2023-06-16,185,265,8,Referral,Social Media,Spring Promo,Tablet,France,0,0,0,0.0,0.0,0.0,0.03018867924528302,1
2023-06-22,186,448,9,Referral,Social Media,Spring Promo,Desktop,Canada,0,0,0,0.0,0.0,0.0,0.020089285714285716,1
2023-06-07,187,506,5,Direct,Referral,Spring Promo,Desktop,USA,0,3,324,0.6,324.0,324.0,0.009881422924901186,1
2023-06-17,188,577,9,Social,Direct,Spring Promo,Mobile,Australia,1,0,0,0.0,0.0,0.0,0.01559792027729636,1
2023-06-07,189,301,2,Social,Organic Search,Spring Promo,Tablet,Germany,1,3,390,1.5,390.0,390.0,0.006644518272425249,1
2023-06-01,190,542,1,Social,Social Media,Summer Sale,Desktop,France,1,2,254,2.0,254.0,254.0,0.0018450184501845018,1
2023-06-09,191,355,2,Referral,Organic Search,,Tablet,Australia,1,3,288,1.5,288.0,288.0,0.005633802816901409,1
2023-06-21,192,198,2,Social,Referral,Spring Promo,Mobile,USA,1,2,192,1.0,192.0,192.0,0.010101010101010102,1
2023-06-13,193,281,6,Social,Referral,Winter Campaign,Mobile,India,0,0,0,0.0,0.0,0.0,0.021352313167259787,1
2023-06-16,194,525,1,Direct,Organic Search,Summer Sale,Mobile,Canada,1,2,256,2.0,256.0,256.0,0.0019047619047619048,1
2023-06-16,195,351,3,Organic,Social Media,,Tablet,India,0,2,242,0.6666666666666666,242.0,242.0,0.008547008547008548,1
2023-06-08,196,191,2,Organic,Referral,Summer Sale,Mobile,India,1,2,232,1.0,232.0,232.0,0.010471204188481676,1
2023-06-18,197,289,4,Organic,Organic Search,Winter Campaign,Desktop,India,0,2,244,0.5,244.0,244.0,0.01384083044982699,1
2023-06-23,198,322,10,Direct,Referral,Summer Sale,Desktop,UK,1,3,312,0.3,312.0,312.0,0.031055900621118012,1
2023-06-04,199,142,5,Referral,Organic Search,,Tablet,France,1,0,0,0.0,0.0,0.0,0.035211267605633804,1
2023-06-24,200,323,3,Referral,Organic Search,Summer Sale,Desktop,Canada,0,3,450,1.0,450.0,450.0,0.009287925696594427,1
2023-06-04,201,426,1,Organic,Organic Search,Summer Sale,Tablet,France,1,3,282,3.0,282.0,282.0,0.002347417840375587,1
2023-06-16,202,81,8,Referral,Direct,Summer Sale,Mobile,Canada,0,2,150,0.25,150.0,150.0,0.09876543209876543,1
2023-06-12,203,152,1,Organic,Direct,Summer Sale,Desktop,France,1,2,270,2.0,270.0,270.0,0.006578947368421052,1
2023-06-30,204,583,3,Referral,Social Media,Summer Sale,Tablet,Australia,0,1,50,0.3333333333333333,50.0,50.0,0.005145797598627788,1
2023-06-15,205,350,3,Referral,Direct,,Tablet,Australia,1,2,208,0.6666666666666666,208.0,208.0,0.008571428571428572,1
2023-06-19,206,518,3,Organic,Social Media,Winter Campaign,Mobile,France,0,1,90,0.3333333333333333,90.0,90.0,0.005791505791505791,1
2023-06-11,207,462,7,Social,Organic Search,Winter Campaign,Tablet,India,1,0,0,0.0,0.0,0.0,0.015151515151515152,1
2023-06-08,208,73,1,Direct,Social Media,Winter Campaign,Mobile,USA,0,3,369,3.0,369.0,369.0,0.0136986301369863,1
2023-06-29,209,527,1,Social,Referral,Summer Sale,Mobile,Canada,1,3,228,3.0,228.0,228.0,0.0018975332068311196,1
2023-06-04,210,378,3,Direct,Direct,Winter Campaign,Mobile,Canada,1,0,0,0.0,0.0,0.0,0.007936507936507936,1
